age,gender,marital_status,education_level,years_experience,skill_score,certifications,job_role,department,job_level,employment_type,remote_status,performance_score,projects_completed,overtime_hours,company_size,location,monthly_salary
26,Female,Divorced,high school ,6.160124374967343,10,5,Data Analyst,Security,Senior,Permanent,Remote,1,8,10,Small,Lagos,1111055
24,Female,Married,Master,11.344226090774868,4,1,Product Manager,Operations,Junior,Permanent,Hybrid,4,3,10.2,Small,Lagos,754621
49,Male,Married,Master,7.404846447599988,2,2,Data Scientist,Operations,Senior,Permanent,Onsite,2,5,3.2,Medium,Kigali,1310715
38,Male,Single,High School,4.554479916105221,1,5,DevOps Engineer,IT,Mid,Permanent,Remote,1,6,11.9,Large,Lagos,1031075
46,Other,Married,Master,3.8927538839830618,8,2,Product Manager,Product,Junior,Permanent,Onsite,3,5,7.9,Large,Nairobi,717168
54,Male,Married,ph.d,2.6120662254679834,8,5,Data Scientist,Data,Mid,Permanent,Remote,4,3,7.2,Large,Kigali,1015092
30,Male,Single,PhD,4.033224004443544,7,1,DevOps Engineer,Operations,Junior,Permanent,Hybrid,1,8,4,Medium,Kigali,1017397
56,Male,Single,BSc,11.462826487040335,3,2,Data Analyst,Engineering,Junior,Permanent,Onsite,2,6,10.6,Medium,Lagos,1008104
34,Male,Married,bachelor ,9.826838407144148,3,5,IT Support,Data,Mid,Permanent,Remote,1,6,7.3,Large,Lagos,859723
51,Male,Married,Master,2.035153376232201,10,2,Product Manager,IT,Junior,Contract,Onsite,3,7,0,Large,Kigali,596026
35,Male,Divorced,BSc,0.014436319140258114,8,0,DevOps Engineer,Operations,Junior,Permanent,Onsite,5,3,18.7,Small,Nairobi,610127
28,Male,Single,Master,2.5508273768143566,8,0,DevOps Engineer,Operations,Senior,Permanent,Hybrid,5,5,3.2,Large,Nairobi,1049250
34,Female,Single,Bachelor,3.8930551670114055,2,5,Product Manager,Security,Junior,Permanent,Onsite,4,6,17.8,Small,Johannesburg,687023
43,Male,Single,MSc,5.786937157691966,1,0,Data Analyst,IT,Senior,Permanent,Hybrid,2,5,12.1,Medium,Lagos,807303
41,Male,Single,PhD,11.691454092034856,1,0,Product Manager,Engineering,Junior,Permanent,Onsite,3,5,9.1,Large,Nairobi,918242
36,Female,Married,BSc,4.809132564401333,1,3,Data Scientist,Security,Senior,Permanent,Hybrid,2,4,9.8,Medium,Kigali,1065099
38,Female,Single,BSc,13.721999840709096,3,2,IT Support,Engineering,Mid,Permanent,Onsite,4,4,4.2,Large,Johannesburg,1056287
44,Male,Married,bachelor ,0.27920043071452927,1,1,Software Engineer,Operations,Mid,Permanent,Remote,3,4,9.4,Small,Johannesburg,895889
46,Female,Married,BSc,5.605469916950775,8,2,Data Analyst,Product,Mid,Permanent,Hybrid,1,5,6.7,Medium,Kigali,904289
45,Male,Single,PhD,10.142194676545605,8,3,Product Manager,Engineering,Senior,Permanent,Onsite,5,7,12,Small,Kigali,1476249
49,Female,Single,BSc,10.388821009465735,9,3,Product Manager,Engineering,Junior,Permanent,Hybrid,1,7,14.4,Small,Johannesburg,695029
35,Male,Married,ph.d,5.657144174446429,4,2,Product Manager,Product,Mid,Permanent,Hybrid,1,3,5.4,Medium,Nairobi,884369
21,Male,Married,High School,11.007013735136788,8,5,Product Manager,Security,Junior,Permanent,Hybrid,2,5,7.2,Large,Kigali,1289575
45,Female,Single,MSc,10.248785770027531,7,2,Data Analyst,Engineering,Senior,Permanent,Remote,2,5,21.5,Medium,Johannesburg,1130239
27,Female,Single,BSc,4.271541362749957,4,0,Data Scientist,Product,Junior,Permanent,Onsite,4,2,3.9,Medium,Nairobi,866480
29,Male,Married,bachelor ,8.259713873777688,1,3,Data Scientist,IT,Junior,Contract,Remote,1,2,10.5,Small,Johannesburg,850162
44,Male,Married,Bachelor,9.814453136307382,3,2,IT Support,Security,Mid,Permanent,Hybrid,1,6,11.5,Small,Nairobi,688883
21,Male,Single,MSc,4.557860929708701,8,1,IT Support,Data,Mid,Permanent,Onsite,1,17,10.5,Medium,Johannesburg,929492
28,Female,Married,high school ,13.777301801076653,8,1,Software Engineer,Data,Mid,Permanent,Hybrid,5,4,2.6,Large,Kigali,1305268
44,Male,Divorced,BSc,3.6585522135294286,2,0,Data Scientist,IT,Junior,Contract,Onsite,3,3,16.7,Large,Lagos,568571
31,Male,Single,high school ,7.576371533178049,7,0,DevOps Engineer,Engineering,Mid,Contract,Hybrid,5,4,8.8,Small,Nairobi,1138561
37,Male,Married,MSc,2.0008907343219677,1,2,Data Analyst,Data,Junior,Permanent,Remote,1,1,12.4,Small,Kigali,503347
28,Female,Single,Master,7.413440794650241,4,1,Data Scientist,IT,Senior,Permanent,Hybrid,4,4,7.2,Large,Nairobi,1195747
55,Female,Single,MSc,2.7317071357167118,7,5,Data Scientist,Data,Mid,Permanent,Hybrid,3,5,14.7,Large,Johannesburg,970240
55,Female,Single,ph.d,5.82348343468295,4,3,IT Support,Engineering,Junior,Permanent,Onsite,3,5,14.7,Medium,Lagos,564361
53,Male,Single,high school ,0.653609754715613,4,4,DevOps Engineer,Security,Senior,Contract,Remote,1,2,7.5,Small,Nairobi,931668
25,Female,Married,ph.d,10.199253601302887,7,1,Product Manager,Product,Junior,Permanent,Hybrid,4,3,9.2,Small,Kigali,1132906
59,Female,Married,MSc,8.42512019896643,1,3,Product Manager,IT,Senior,Contract,Remote,5,5,9,Small,Lagos,4244406
48,Female,Single,high school ,11.349642214546797,5,1,DevOps Engineer,Security,Mid,Permanent,Remote,2,4,12.2,Large,Nairobi,1066517
27,Male,Single,high school ,5.608779341440656,6,2,Data Scientist,Data,Mid,Permanent,Onsite,5,4,4.7,Small,Nairobi,940433
29,Male,Married,bachelor ,11.535389467523993,7,4,Data Scientist,Engineering,Junior,Permanent,Onsite,3,4,10.7,Medium,Nairobi,1200983
28,Female,Single,high school ,7.157118581579343,7,4,Data Scientist,Security,Mid,Permanent,Onsite,4,4,7.7,Medium,Johannesburg,1010766
32,Male,Single,High School,7.452669837714947,7,2,Data Scientist,Data,Junior,Permanent,Remote,1,9,14.4,Large,Nairobi,811584
54,Male,Married,Master,15.456213301407754,2,2,IT Support,Engineering,Senior,Contract,Hybrid,5,3,8.4,Small,Nairobi,1255145
53,Female,Married,BSc,5.061296140245585,6,0,Data Scientist,Engineering,Junior,Permanent,Onsite,3,5,15,Medium,Johannesburg,773189
43,Female,Single,Bachelor,11.9098361246194,9,3,Data Scientist,Engineering,Junior,Permanent,Remote,2,1,15,Large,Nairobi,1185414
44,Female,Married,High School,8.918739762190453,7,5,Software Engineer,Engineering,Mid,Permanent,Remote,1,4,14.2,Large,Nairobi,1185063
57,Female,Single,ph.d,4.712380431018068,7,3,Software Engineer,IT,Senior,Permanent,Hybrid,1,7,11.5,Medium,Nairobi,1129221
55,Male,Married,PhD,1.737236438146108,2,0,Data Scientist,Security,Mid,Permanent,Remote,2,6,8.2,Medium,Kigali,731391
42,Male,Married,Master,2.867659798178039,7,3,Product Manager,Product,Mid,Permanent,Onsite,5,4,15.2,Large,Lagos,908444
47,Male,Married,Master,11.522699191418045,9,4,Data Analyst,IT,Junior,Permanent,Onsite,3,9,10.3,Medium,Johannesburg,1061423
55,Male,Married,bachelor ,13.937598107347828,3,1,Software Engineer,Data,Junior,Permanent,Onsite,5,3,2.7,Small,Kigali,985493
21,Male,Single,high school ,7.365759612840904,2,4,Data Scientist,IT,Junior,Permanent,Onsite,2,4,13.9,Medium,Kigali,937852
55,Male,Single,bachelor ,7.575527050484492,6,0,Software Engineer,IT,Junior,Contract,Onsite,4,4,14.1,Medium,Nairobi,893938
57,Female,Single,high school ,10.105813732625947,2,3,Data Scientist,Data,Senior,Permanent,Remote,4,3,7.7,Medium,Johannesburg,1508630
34,Female,Married,MSc,7.29320811741274,1,3,Product Manager,Product,Junior,Permanent,Onsite,2,1,15.2,Large,Kigali,764485
23,Other,Married,ph.d,11.39880015188129,10,1,Product Manager,IT,Junior,Permanent,Onsite,1,2,13.2,Small,Lagos,1072182
21,Female,Married,high school ,8.166489002652739,4,5,Software Engineer,Engineering,Senior,Permanent,Onsite,3,5,7,Large,Lagos,1117191
25,Female,Married,ph.d,7.54216525460977,9,1,DevOps Engineer,IT,Senior,Permanent,Onsite,3,7,6.3,Small,Lagos,1407555
46,Female,Single,ph.d,4.2031486100235265,10,1,Data Analyst,Data,Mid,Permanent,Hybrid,1,4,10.2,Large,Johannesburg,973670
34,Other,Single,PhD,3.2189316821068705,3,4,Data Analyst,Product,Junior,Permanent,Remote,4,3,11.8,Large,Kigali,408240
59,Female,Single,High School,,3,0,Data Analyst,IT,Mid,Permanent,Remote,1,5,15.8,Small,Lagos,897681
47,Female,Single,BSc,11.936467199767486,6,0,DevOps Engineer,IT,Junior,Contract,Onsite,4,4,9.4,Small,Lagos,1113993
29,Female,Single,bachelor ,6.413571779110698,6,0,Data Analyst,Data,Mid,Contract,Hybrid,5,6,11.5,Large,Johannesburg,756677
35,Female,Married,MSc,5.398410621056875,8,4,IT Support,Operations,Junior,Permanent,Hybrid,2,3,15.6,Large,Kigali,605262
35,Male,Single,PhD,,10,2,DevOps Engineer,Operations,Junior,Permanent,Hybrid,4,1,14.4,Small,Nairobi,836966
46,Male,Married,PhD,4.439548936910592,6,3,Data Scientist,Security,Junior,Permanent,Onsite,1,4,15.4,Small,Johannesburg,992288
33,Male,Married,high school ,3.9132541668684175,8,4,Product Manager,IT,Mid,Permanent,Hybrid,2,6,9.6,Large,Kigali,1094919
52,Male,Single,Bachelor,3.8209076510769013,8,0,Data Analyst,Security,Junior,Permanent,Hybrid,4,7,11.8,Small,Johannesburg,675645
59,Male,Married,MSc,8.331344572610512,7,4,IT Support,Engineering,Junior,Permanent,Onsite,1,5,17.1,Medium,Kigali,779109
52,Male,Single,bachelor ,7.488994212784014,5,4,Data Scientist,IT,Mid,Permanent,Onsite,5,6,1.9,Large,Johannesburg,982978
24,Male,Single,Master,1.554816265521179,4,5,IT Support,Security,Junior,Permanent,Hybrid,1,3,15,Large,Kigali,400138
50,Male,Single,PhD,1.8086356003706694,1,2,Software Engineer,Operations,Junior,Permanent,Remote,5,4,5.4,Large,Kigali,620675
57,Female,Single,PhD,1.801285790678536,6,5,Software Engineer,IT,Junior,Permanent,Onsite,2,2,6.9,Small,Lagos,864992
43,Male,Married,MSc,14.242104350268708,8,1,Data Analyst,Engineering,Senior,Contract,Remote,5,3,11.9,Small,Johannesburg,1662386
59,Female,Married,high school ,12.97089051476652,4,5,Software Engineer,Product,Senior,Permanent,Remote,4,7,14.1,Medium,Johannesburg,1499436
35,Female,Single,high school ,3.590804003601609,7,5,Data Scientist,IT,Senior,Permanent,Remote,5,2,13.2,Large,Nairobi,1001055
49,Female,Single,Bachelor,,3,0,Data Analyst,Data,Mid,Permanent,Onsite,1,7,14.2,Large,Johannesburg,817879
56,Female,Single,bachelor ,7.512176972050081,5,4,IT Support,Engineering,Senior,Permanent,Remote,4,3,12.2,Large,Kigali,949337
33,Male,Married,High School,7.187760464950687,7,1,Product Manager,IT,Junior,Permanent,Onsite,5,6,8.9,Large,Nairobi,966610
52,Male,Single,BSc,8.267667947953592,9,3,Product Manager,Operations,Mid,Permanent,Onsite,1,5,10.4,Large,Kigali,1149647
27,Male,Married,MSc,9.965495569909333,9,3,Product Manager,Security,Mid,Permanent,Remote,2,8,11.3,Medium,Nairobi,1337589
42,Male,Married,BSc,8.806815813583768,7,3,Data Scientist,IT,Junior,Permanent,Hybrid,3,7,10.2,Small,Lagos,1114092
48,Female,Single,MSc,2.5342418739989867,4,4,Data Analyst,Security,Junior,Contract,Hybrid,1,2,16.8,Small,Kigali,478126
22,Male,Divorced,BSc,8.176164348656071,6,4,Software Engineer,Operations,Senior,Permanent,Onsite,4,7,20.2,Medium,Kigali,1249388
26,Male,Single,PhD,10.415294301342616,4,2,Data Analyst,Data,Senior,Permanent,Remote,2,5,18.3,Medium,Kigali,1317429
48,Male,Divorced,MSc,4.103993107986508,3,0,IT Support,Product,Junior,Permanent,Remote,2,9,13.5,Large,Johannesburg,357621
48,Male,Single,High School,8.199825875023434,9,1,Product Manager,Operations,Mid,Permanent,Hybrid,2,6,6.5,Medium,Nairobi,1242778
40,Female,Single,High School,4.788877130128768,5,5,Data Analyst,IT,Mid,Permanent,Remote,5,6,9.6,Medium,Johannesburg,678482
50,Female,Married,BSc,14.984678883764918,8,3,DevOps Engineer,Data,Senior,Permanent,Onsite,2,4,17,Medium,Johannesburg,1652346
31,Male,Married,high school ,1.6926914445319197,3,1,Data Analyst,Engineering,Mid,Permanent,Onsite,2,1,16.7,Large,Lagos,671850
48,Male,Married,ph.d,11.623795746114403,9,2,DevOps Engineer,IT,Mid,Permanent,Remote,3,4,4.5,Large,Kigali,1356481
45,Male,Single,high school ,0.316748954298923,1,3,Software Engineer,Security,Senior,Permanent,Hybrid,5,3,8.2,Medium,Kigali,803154
59,Male,Married,ph.d,14.172210740866431,2,1,IT Support,Security,Mid,Permanent,Remote,1,2,10.2,Large,Nairobi,887875
53,Female,Single,high school ,2.433803730302362,4,0,Product Manager,Security,Senior,Permanent,Onsite,1,7,11,Large,Lagos,777120
21,Male,Single,bachelor ,7.758686175957344,2,0,Software Engineer,Engineering,Mid,Contract,Onsite,4,5,11.6,Small,Kigali,993894
47,Female,Single,Bachelor,0.4832272532127808,9,2,Product Manager,Security,Mid,Permanent,Onsite,2,6,15.1,Large,Nairobi,783247
33,Female,Married,Master,1.6000755319131565,7,1,Software Engineer,Security,Mid,Permanent,Hybrid,4,4,9.9,Medium,Kigali,848100
23,Male,Married,bachelor ,10.590988190498487,2,2,Software Engineer,Operations,Mid,Permanent,Onsite,1,3,12.8,Large,Nairobi,677996
59,Male,Single,ph.d,11.112649245877886,4,2,Product Manager,Security,Junior,Permanent,Onsite,2,3,12.7,Medium,Nairobi,952430
26,Female,Single,ph.d,7.957435729470587,6,2,IT Support,Data,Senior,Permanent,Remote,2,10,8.6,Medium,Kigali,1017958
28,Female,Single,ph.d,9.964326661960964,2,4,Data Scientist,Product,Junior,Permanent,Remote,1,2,9.4,Medium,Lagos,971348
47,Male,Single,Bachelor,11.179514970615891,9,0,Data Scientist,IT,Junior,Permanent,Hybrid,2,5,10.5,Small,Nairobi,839611
29,Female,Single,Bachelor,4.263292544802743,3,4,Data Analyst,Data,Mid,Contract,Hybrid,5,8,8.2,Large,Kigali,796877
57,Female,Married,bachelor ,1.4041542627327415,2,5,Data Analyst,Data,Mid,Permanent,Remote,2,2,16.8,Large,Nairobi,564289
53,Male,Married,ph.d,6.945186455188821,4,4,IT Support,Product,Junior,Permanent,Onsite,2,4,6.6,Large,Lagos,711049
44,Female,Married,Master,4.6911952564111665,5,0,Data Scientist,Security,Senior,Permanent,Onsite,4,3,5.4,Medium,Nairobi,1166053
35,Male,Single,ph.d,8.55448592080398,4,2,Data Analyst,Operations,Junior,Permanent,Onsite,3,8,5.9,Medium,Kigali,845342
52,Male,Single,PhD,9.192114448351706,3,1,Data Scientist,Security,Junior,Permanent,Remote,1,9,0.6,Small,Kigali,968629
52,Other,Single,MSc,4.273396837722877,3,2,Data Scientist,Security,Junior,Permanent,Onsite,1,7,18.2,Large,Nairobi,835143
44,Female,Married,BSc,9.816434171865772,3,2,Data Scientist,Product,Senior,Permanent,Remote,1,6,5.3,Large,Johannesburg,1326645
32,Male,Single,ph.d,9.616553503805232,3,4,Data Analyst,Product,Mid,Permanent,Hybrid,4,5,18,Medium,Nairobi,921554
59,Male,Married,bachelor ,9.893270315556078,6,1,Data Analyst,Product,Junior,Permanent,Onsite,2,3,17.8,Medium,Kigali,626415
22,Female,Married,bachelor ,5.368830491957627,4,0,IT Support,Security,Mid,Permanent,Remote,3,5,6.9,Large,Kigali,786495
23,Female,Single,PhD,10.1196886593143,7,3,Software Engineer,Engineering,Mid,Permanent,Onsite,4,3,9.9,Medium,Johannesburg,1195593
57,Female,Single,bachelor ,9.080009122700773,7,0,Data Analyst,Security,Senior,Permanent,Remote,3,8,6.1,Large,Johannesburg,1098344
37,Female,Married,MSc,9.560738579026243,4,1,Product Manager,IT,Senior,Permanent,Onsite,5,3,5.2,Medium,Kigali,1196433
22,Female,Married,bachelor ,13.711154252354106,1,0,Software Engineer,Product,Junior,Permanent,Hybrid,5,4,9.9,Medium,Lagos,1099699
22,Male,Single,High School,8.311096759701647,9,4,Data Scientist,IT,Mid,Permanent,Hybrid,4,4,16.9,Small,Johannesburg,1311101
48,Male,Single,ph.d,4.572151104010131,7,1,IT Support,Security,Junior,Contract,Remote,4,2,5.4,Large,Nairobi,776835
43,Male,Married,bachelor ,2.558181876002143,6,3,Product Manager,Security,Junior,Permanent,Remote,3,2,10.2,Medium,Nairobi,786270
57,Female,Married,Bachelor,11.511744639975287,5,3,DevOps Engineer,Product,Junior,Contract,Hybrid,4,5,9.7,Large,Kigali,859744
52,Female,Single,Bachelor,8.429230704141792,9,1,Product Manager,Operations,Mid,Permanent,Remote,2,8,8.4,Small,Kigali,1327987
53,Male,Single,ph.d,13.680087953280898,9,0,Software Engineer,Operations,Mid,Permanent,Hybrid,4,5,8.6,Large,Lagos,1154523
21,Male,Single,PhD,,10,3,IT Support,Product,Senior,Permanent,Onsite,4,5,16.5,Small,Lagos,893777
39,Male,Married,MSc,10.642668351145769,6,5,DevOps Engineer,Data,Junior,Permanent,Hybrid,2,6,11.4,Large,Johannesburg,1088539
22,Male,Single,MSc,5.9554506583174875,8,1,Software Engineer,IT,Mid,Permanent,Onsite,1,11,9.2,Large,Kigali,919096
46,Male,Married,bachelor ,5.585916020475315,7,1,DevOps Engineer,Operations,Senior,Permanent,Remote,1,10,9.2,Medium,Johannesburg,1123308
52,Male,Married,Bachelor,3.940768639405636,1,1,Data Analyst,Engineering,Junior,Permanent,Hybrid,5,2,7.9,Large,Lagos,374957
26,Male,Single,bachelor ,10.598284055540573,2,2,DevOps Engineer,Data,Mid,Permanent,Onsite,4,2,11.6,Large,Johannesburg,1112362
52,Male,Married,Master,9.454144709132898,9,0,Data Scientist,Operations,Senior,Permanent,Hybrid,5,3,10.1,Large,Lagos,1304808
24,Female,Single,bachelor ,2.430471899842238,10,1,DevOps Engineer,Data,Junior,Permanent,Onsite,4,5,4.9,Small,Kigali,790288
31,Male,Married,bachelor ,7.659685751700285,4,1,IT Support,Security,Senior,Permanent,Remote,2,7,18.1,Small,Kigali,1071127
37,Female,Married,high school ,9.824457322721882,3,2,Data Analyst,IT,Mid,Permanent,Remote,3,7,11.1,Large,Kigali,865837
58,Female,Single,MSc,7.712042103703627,2,4,Data Scientist,Security,Mid,Permanent,Hybrid,4,2,0.9,Large,Lagos,1054266
44,Female,Single,Master,11.431361200107755,8,2,Data Scientist,Security,Junior,Permanent,Onsite,5,6,10.5,Small,Nairobi,941605
25,Female,Married,high school ,5.8398458244432705,7,1,Data Analyst,Data,Mid,Permanent,Remote,5,3,7.8,Large,Kigali,914036
54,Male,Single,BSc,,9,0,IT Support,Engineering,Senior,Permanent,Onsite,4,9,5.7,Large,Kigali,877879
26,Male,Single,Master,7.746870243072946,3,2,Product Manager,Data,Mid,Permanent,Remote,5,4,0,Medium,Kigali,1021228
42,Female,Single,BSc,7.72250307762032,1,1,Software Engineer,Security,Mid,Permanent,Onsite,5,4,6.4,Small,Nairobi,862152
31,Female,Married,bachelor ,8.244745986817417,9,5,IT Support,Operations,Mid,Permanent,Onsite,2,1,5.3,Small,Lagos,1053695
36,Female,Married,ph.d,11.427916391870806,5,0,DevOps Engineer,Engineering,Senior,Permanent,Onsite,5,1,11,Large,Lagos,1223023
53,Female,Married,Bachelor,,5,2,Product Manager,Security,Junior,Permanent,Onsite,1,0,12.7,Small,Johannesburg,862087
29,Male,Single,high school ,6.046066782669358,3,3,Product Manager,IT,Mid,Permanent,Remote,1,1,14.5,Medium,Lagos,845761
26,Male,Single,ph.d,3.3093687679937953,8,0,DevOps Engineer,Operations,Senior,Permanent,Onsite,3,3,12.5,Medium,Johannesburg,1310769
36,Female,Single,PhD,2.1678784475260606,8,5,Product Manager,IT,Mid,Permanent,Onsite,1,3,9.2,Medium,Lagos,1069787
49,Male,Single,ph.d,6.710804001748429,1,1,Software Engineer,Security,Junior,Permanent,Hybrid,1,9,22.3,Large,Kigali,2644654
23,Male,Married,Bachelor,9.807288121122703,4,0,Software Engineer,Product,Senior,Contract,Remote,2,3,0.5,Medium,Lagos,1286395
40,Female,Married,High School,8.203786419436637,6,0,Software Engineer,Operations,Senior,Permanent,Hybrid,4,10,8.7,Small,Nairobi,1178845
